Transaction Date & Time,Transaction Amount,Transaction Type,Currency,Customer Age,Customer Occupation,Account Balance,Average Transaction Amount,Transaction Frequency,Account Tenure,Country of Origin,Country of Destination,Third-Party Involvement,Linked Accounts,PEP Status,Suspicious
2024-01-25 12:16:55,93315.83,Withdrawal,USD,68,Engineer,599455.25,26058.38,56,28,USA,UK,0,1,0,0
2024-09-04 03:30:30,30312.73,Wire Transfer,NGN,41,Lawyer,903072.46,34728.95,13,3,UK,Germany,0,1,1,0
2024-05-27 03:32:53,47039.26,Online Payment,USD,55,Business Owner,728757.36,8791.78,70,24,UK,USA,0,0,1,0
2024-01-03 04:07:39,65208.19,Wire Transfer,GBP,22,Engineer,798435.89,1865.2,66,25,Germany,China,0,1,0,0
2024-10-16 21:16:14,95727.52,Cash Deposit,USD,27,Business Owner,336412.45,8176.69,85,26,China,Germany,0,1,1,0
2024-03-03 13:54:48,52140.99,Wire Transfer,USD,52,Doctor,263190.34,10300.29,71,29,UK,China,0,0,1,0
2024-04-15 08:07:59,56435.58,Cash Deposit,USD,70,Lawyer,255020.37,25052.82,75,12,China,China,1,0,0,0
2024-07-19 20:16:18,70245.29,Online Payment,GBP,24,Lawyer,568433,12384.5,3,5,Germany,USA,0,0,1,0
2024-09-20 14:57:09,95231.64,Wire Transfer,EUR,23,Doctor,245665.39,10937.56,80,29,USA,Germany,1,0,0,0
2024-02-22 19:02:41,71858.08,Cash Deposit,USD,52,Doctor,710395.87,38691.72,75,26,Germany,UK,1,1,1,0
2024-08-09 22:27:00,96154.67,Online Payment,EUR,68,Teacher,356227.44,15998.38,47,11,Nigeria,UK,0,0,0,0
2024-06-29 08:27:54,44127.86,Cash Deposit,EUR,34,Doctor,991133.15,30368.84,72,5,USA,Germany,0,0,0,0
2024-10-09 00:05:20,60737.88,Online Payment,USD,75,Teacher,611459.94,6753.31,96,24,USA,China,0,1,1,1
2024-05-07 22:16:27,18389.61,Wire Transfer,NGN,19,Doctor,690150.14,25758.72,41,15,Germany,UK,1,1,0,0
2024-03-02 17:27:07,68323.69,Online Payment,NGN,32,Lawyer,638513.39,39109.15,78,24,UK,Germany,1,1,1,0
2024-03-06 14:42:01,85314.38,Wire Transfer,NGN,65,Lawyer,89575.15,28217.01,44,14,UK,Germany,1,0,1,0
2024-02-21 02:44:50,88448.32,Wire Transfer,NGN,59,Business Owner,16293.29,28043.91,75,11,China,Nigeria,0,0,0,0
2024-04-26 16:39:58,99016.93,Wire Transfer,GBP,74,Engineer,893739.8,23327.76,4,17,UK,USA,0,0,0,1
2024-05-30 07:20:10,2980.92,Withdrawal,USD,25,Doctor,120761.59,38889.45,17,6,UK,Nigeria,0,1,0,0
2024-03-02 19:21:10,76525.85,Withdrawal,USD,36,Teacher,371410.51,34296.78,99,7,China,UK,1,0,0,0
2024-03-09 18:26:47,6656.99,Cash Deposit,EUR,60,Lawyer,139832.14,42053.25,81,26,China,UK,0,1,1,0
2024-01-15 22:15:33,60278.41,Wire Transfer,GBP,42,Doctor,325440.8,46180.64,26,29,Nigeria,UK,1,1,1,0
2024-07-05 20:41:56,64832.11,Cash Deposit,NGN,70,Business Owner,587218.22,40669.14,40,1,Nigeria,UK,0,1,0,0
2024-01-04 02:06:42,52694.5,Wire Transfer,EUR,48,Engineer,944821.5,17408.35,100,20,Nigeria,China,1,1,0,0
2024-02-03 06:29:12,39836.99,Withdrawal,EUR,50,Teacher,336396.79,8120.3,29,11,UK,China,0,0,1,0
2024-02-08 19:54:12,26906.64,Withdrawal,NGN,25,Lawyer,987731.37,15744.65,29,9,Nigeria,China,0,0,0,0
2024-07-20 03:48:56,43573.82,Cash Deposit,NGN,52,Doctor,394159.75,32219.96,11,21,Germany,Nigeria,1,1,1,0
2024-04-21 20:13:26,66454.32,Online Payment,USD,70,Teacher,997606.76,35049.97,89,9,China,Nigeria,0,0,0,0
2024-08-28 05:58:05,73639.65,Cash Deposit,EUR,70,Business Owner,457302.44,10559.36,35,1,USA,Germany,0,0,1,1
2024-08-18 06:25:29,57442.14,Online Payment,USD,24,Doctor,449473.39,26143.99,86,19,Germany,China,0,1,0,0
2024-01-19 16:02:16,1973,Withdrawal,EUR,41,Engineer,833584.34,42719.89,97,17,Nigeria,Nigeria,0,1,0,0
2024-05-05 16:05:47,80162.07,Cash Deposit,GBP,40,Business Owner,199774.43,29645.92,59,3,Germany,Germany,1,0,0,0
2024-01-05 15:07:47,93811.75,Cash Deposit,USD,66,Engineer,836783.71,39461.19,43,4,Nigeria,UK,0,0,1,0
2024-01-14 10:37:41,21034.79,Wire Transfer,EUR,50,Business Owner,169560.03,32602.47,42,30,China,UK,0,0,1,0
2024-02-06 23:32:58,57012.99,Cash Deposit,GBP,64,Engineer,462226.99,13644.02,88,29,China,UK,1,0,0,1
2024-09-17 22:03:00,81646.92,Wire Transfer,GBP,49,Lawyer,878818.32,44536.83,87,4,China,USA,0,1,0,0
2024-08-20 00:57:09,36792.79,Online Payment,NGN,28,Engineer,552298.99,2363.6,37,25,USA,China,1,1,1,0
2024-07-07 21:29:27,21733.04,Wire Transfer,USD,57,Lawyer,261155.77,11542.17,69,23,USA,Nigeria,1,0,1,0
2024-04-08 12:05:44,72013.2,Cash Deposit,GBP,74,Engineer,595015.52,48881.73,33,20,Nigeria,USA,0,0,1,0
2024-02-07 11:47:26,61880.75,Online Payment,NGN,52,Engineer,346562.04,27104.18,41,17,Germany,USA,0,0,1,0
2024-09-10 03:13:12,47242.87,Online Payment,USD,64,Lawyer,278787.33,20968.61,95,12,Germany,Nigeria,0,0,0,0
2024-01-06 04:53:14,74248.92,Online Payment,USD,23,Engineer,262750.08,31615.74,77,5,China,China,0,0,1,0
2024-06-01 00:44:32,85082.97,Cash Deposit,EUR,71,Business Owner,32032.03,17270.62,61,28,Germany,China,1,1,1,0
2024-05-13 23:21:01,21022.33,Cash Deposit,EUR,41,Business Owner,561354.3,44596.2,98,13,USA,UK,1,0,1,0
2024-04-30 01:15:32,76253.34,Cash Deposit,EUR,72,Lawyer,850056.17,17787.47,3,24,Nigeria,Germany,0,0,0,0
2024-02-29 18:02:35,39202.44,Online Payment,USD,36,Doctor,315755.46,14870.67,47,22,Germany,USA,0,1,0,0
2024-05-22 21:25:59,23456.72,Wire Transfer,USD,65,Business Owner,395293.74,48659.16,53,12,USA,Nigeria,1,0,1,0
2024-03-23 20:54:09,58589.75,Wire Transfer,NGN,23,Lawyer,16401.03,17507.45,48,5,Germany,Nigeria,1,1,1,0
2024-06-11 01:26:03,49266.29,Online Payment,USD,36,Teacher,66212.42,5650.32,75,24,Nigeria,China,0,0,0,0
2024-02-08 04:47:36,77655.89,Online Payment,USD,43,Engineer,507335.99,35882.23,10,9,China,USA,0,1,1,0
2024-09-23 12:57:43,77037.03,Wire Transfer,USD,36,Lawyer,157304.07,22726.69,23,22,Germany,Germany,1,0,1,0
2024-08-14 13:51:49,5315.05,Cash Deposit,EUR,26,Business Owner,216137.38,4425.86,63,14,UK,Nigeria,1,0,1,0
2024-05-25 13:04:24,88932.27,Withdrawal,NGN,46,Business Owner,687093.17,24862.12,37,20,UK,Germany,1,0,1,0
2024-06-29 04:41:25,38442.21,Online Payment,GBP,56,Teacher,92645.1,24581.96,11,30,Germany,China,0,1,1,0
2024-07-26 12:12:14,22828.52,Wire Transfer,EUR,75,Lawyer,122195.12,21022.76,24,7,China,UK,0,0,0,0
2024-07-30 07:39:12,41986.14,Cash Deposit,USD,33,Business Owner,403580.6,34639.55,70,11,UK,Nigeria,0,0,1,0
2024-06-02 19:34:46,82293.36,Online Payment,GBP,29,Doctor,461153.29,3840.19,43,5,Germany,UK,1,0,1,0
2024-04-02 23:13:30,10692.15,Wire Transfer,NGN,27,Doctor,67584.74,34959.2,26,30,Germany,UK,1,1,1,0
2024-05-01 20:03:40,2228.43,Cash Deposit,GBP,30,Business Owner,30609.79,34873.87,28,13,Nigeria,China,1,1,1,0
2024-06-16 00:14:25,35516.34,Online Payment,EUR,57,Business Owner,995266.52,5823.15,60,6,Nigeria,China,0,0,1,0
2024-08-30 18:54:53,26307.42,Online Payment,USD,74,Lawyer,107855.65,35246.4,30,6,USA,China,0,1,1,0
2024-06-16 21:52:24,21603.27,Wire Transfer,EUR,35,Teacher,551554.18,47585.74,48,24,USA,China,0,1,1,0
2024-10-19 00:54:10,26163.48,Withdrawal,GBP,25,Doctor,683457.32,33322.14,85,6,UK,Germany,0,1,1,0
2024-04-19 20:38:23,92395.21,Online Payment,GBP,55,Lawyer,919580.64,9742.63,53,6,UK,China,0,1,1,0
2024-10-11 23:00:57,26708.7,Wire Transfer,NGN,53,Lawyer,882091.89,13288.2,23,4,USA,USA,1,1,0,0
2024-07-18 11:45:22,68928.31,Wire Transfer,GBP,57,Teacher,979772.72,47626.03,63,6,Nigeria,UK,0,0,1,0
2024-03-23 09:39:40,46252.89,Cash Deposit,USD,63,Business Owner,143343.24,14475.03,24,29,USA,UK,0,0,0,0
2024-08-24 17:17:56,73594.62,Cash Deposit,USD,23,Engineer,139060.44,29890.67,58,16,China,Nigeria,0,0,0,0
2024-06-02 18:05:45,46462.27,Cash Deposit,EUR,54,Doctor,44594.41,47171.69,72,4,UK,Nigeria,0,0,0,0
2024-10-17 19:55:20,67385.63,Online Payment,EUR,43,Doctor,740117.19,31853.21,3,8,UK,USA,0,0,1,0
2024-08-21 07:11:58,94433.66,Withdrawal,NGN,19,Engineer,608479.65,14736.54,16,30,Germany,Germany,0,1,0,1
2024-06-18 10:22:56,39011.05,Wire Transfer,EUR,59,Teacher,949439.01,20676.93,74,23,UK,USA,1,0,1,0
2024-02-08 04:06:40,8630.28,Online Payment,NGN,19,Business Owner,621336.71,32788.91,64,30,USA,Germany,1,0,0,0
2024-10-22 23:57:48,83064.12,Wire Transfer,USD,26,Business Owner,759789.11,13390.69,7,28,Germany,USA,0,1,1,1
2024-04-16 09:53:15,76771.14,Cash Deposit,EUR,20,Doctor,219214.36,28974.08,14,18,Nigeria,China,0,0,1,0
2024-05-27 20:44:51,18349.28,Withdrawal,NGN,26,Lawyer,694110.44,11047.87,57,25,China,USA,0,1,0,1
2024-06-28 11:01:55,55219.18,Cash Deposit,NGN,24,Business Owner,165149.92,24256.68,35,28,USA,China,0,0,1,0
2024-03-06 23:30:36,35865.88,Withdrawal,GBP,61,Business Owner,573642.87,46813.73,97,21,UK,UK,1,1,1,0
2024-05-24 05:26:31,23704.98,Cash Deposit,NGN,50,Business Owner,742562.49,39140.37,79,2,China,Nigeria,0,0,0,0
2024-04-01 19:29:07,60893.85,Online Payment,NGN,62,Teacher,297202.64,44632.83,48,24,China,USA,0,1,1,0
2024-09-28 19:49:19,65791.18,Withdrawal,NGN,59,Teacher,352528.06,17464.77,1,21,Nigeria,Nigeria,0,1,1,0
2024-08-29 23:54:49,64742.9,Online Payment,EUR,60,Teacher,210341.87,14219.82,85,26,UK,Nigeria,1,1,1,0
2024-08-04 18:03:33,34719.59,Wire Transfer,NGN,67,Engineer,764501.32,20929.46,20,8,Germany,China,0,1,1,0
2024-01-21 18:26:05,57692.28,Wire Transfer,EUR,38,Doctor,762938.84,19663.32,83,14,UK,Germany,1,0,0,0
2024-10-16 15:36:01,29818.74,Online Payment,GBP,57,Doctor,910386.64,34304.42,41,24,USA,China,0,0,0,0
2024-05-05 03:02:58,12963.96,Withdrawal,GBP,58,Doctor,786172.7,7181.14,10,15,Germany,China,1,0,1,0
2024-10-16 13:30:57,98568.22,Cash Deposit,GBP,53,Engineer,96254.03,15262.32,37,2,Germany,Germany,1,0,0,0
2024-04-05 19:23:51,68596.88,Cash Deposit,GBP,19,Teacher,956207.77,40350.17,82,30,UK,UK,0,0,1,0
2024-07-12 19:46:17,75314.78,Wire Transfer,GBP,74,Doctor,192282.17,2974.43,36,18,Germany,UK,1,1,1,0
2024-04-05 10:14:00,7881.92,Online Payment,USD,73,Engineer,449078.8,9907.63,67,1,UK,Nigeria,0,0,0,0
2024-02-07 08:00:21,48075.85,Cash Deposit,USD,35,Engineer,272386.23,32397.84,34,13,China,Germany,1,0,1,0
2024-07-20 09:22:18,22580.17,Withdrawal,NGN,42,Lawyer,290875.67,42139.88,80,8,Nigeria,Nigeria,1,0,0,0
2024-04-10 20:24:59,48057.67,Cash Deposit,GBP,50,Engineer,427968.77,122.49,100,16,Germany,UK,0,0,0,0
2024-05-23 19:54:43,35978.23,Withdrawal,NGN,63,Lawyer,449463.46,48296,50,11,USA,USA,1,0,1,0
2024-06-25 13:21:04,97282.97,Wire Transfer,GBP,49,Engineer,101786.07,27119.34,74,3,China,Germany,0,0,1,0
2024-09-20 22:27:19,68186.66,Cash Deposit,NGN,20,Engineer,523046.65,44955.45,93,22,Germany,UK,0,0,1,0
2024-01-01 08:15:58,22277.3,Wire Transfer,NGN,68,Lawyer,347598.35,28068.03,98,30,China,Nigeria,0,0,0,0
2024-09-18 06:27:57,77263.09,Withdrawal,USD,74,Lawyer,459805,33279.99,23,24,USA,USA,1,0,0,1
2024-02-02 11:20:46,27279.08,Wire Transfer,EUR,71,Doctor,657832.52,49964.73,8,3,Germany,USA,1,1,0,0
2024-08-08 11:05:55,98942.54,Online Payment,GBP,55,Doctor,828431.13,16242.88,73,12,USA,UK,1,0,0,0
2024-05-04 00:52:50,65755.29,Wire Transfer,EUR,35,Lawyer,7713.99,44710.98,6,20,Nigeria,China,1,1,1,0
2024-06-12 19:03:36,30311.11,Cash Deposit,GBP,27,Business Owner,241137.82,19354.5,55,15,China,UK,0,1,1,0
2024-04-24 19:27:56,20481.2,Cash Deposit,USD,43,Doctor,855895.24,18182.15,13,7,Germany,Nigeria,0,1,1,0
2024-03-25 05:13:19,12468.92,Wire Transfer,GBP,48,Lawyer,233226.92,35673.61,63,22,UK,USA,1,1,1,0
2024-03-04 22:11:39,89373.9,Cash Deposit,NGN,65,Business Owner,31563.19,14641.97,56,12,Nigeria,Germany,0,0,1,0
2024-08-31 07:29:43,667.64,Withdrawal,USD,55,Teacher,807869.46,12873.02,55,18,Germany,UK,1,0,0,0
2024-06-10 06:54:34,71781.63,Online Payment,NGN,68,Teacher,613030.73,29662.32,99,11,Germany,China,1,0,1,0
2024-08-02 01:55:51,9246.91,Wire Transfer,EUR,33,Teacher,554823.92,27406.92,55,26,China,USA,0,0,0,1
2024-05-30 01:44:06,49840.4,Cash Deposit,GBP,57,Teacher,231447.78,49272.78,79,20,Nigeria,USA,1,0,1,0
2024-02-12 10:01:45,79138.11,Wire Transfer,EUR,47,Business Owner,356141.32,31690.33,63,25,USA,Germany,1,0,1,0
2024-04-28 22:17:30,55938.68,Withdrawal,USD,23,Teacher,340495.09,31609.72,7,16,China,UK,0,0,0,0
2024-07-12 11:05:43,8129.35,Cash Deposit,EUR,19,Lawyer,280592.57,8387.1,1,2,Nigeria,China,1,0,1,0
2024-02-08 17:45:09,9640.63,Cash Deposit,EUR,39,Business Owner,932251.18,32114.87,36,26,Nigeria,UK,0,1,1,1
2024-09-24 02:18:45,73142.96,Online Payment,USD,52,Engineer,868598.39,19081.39,11,23,USA,USA,1,0,1,0
2024-06-14 14:48:17,32306.47,Withdrawal,NGN,29,Lawyer,65740.77,8202.21,70,20,Germany,China,1,1,0,0
2024-05-12 14:24:23,2208.14,Withdrawal,USD,56,Doctor,385882.57,30041.32,26,30,USA,UK,1,0,0,0
2024-04-06 04:19:12,73196.25,Cash Deposit,GBP,55,Business Owner,735371.16,38058.48,2,25,Germany,Nigeria,0,0,1,0
2024-04-17 21:45:35,22651.26,Wire Transfer,GBP,21,Teacher,116503.54,18501.3,13,4,China,UK,0,1,0,0
2024-07-20 16:12:13,65432.39,Online Payment,USD,67,Teacher,475241.98,22252.5,78,7,Nigeria,Nigeria,1,1,1,0
2024-09-06 18:09:50,56502.32,Withdrawal,GBP,29,Doctor,362180.53,4805.18,71,12,UK,China,1,1,1,0
2024-04-27 18:02:07,7642.67,Cash Deposit,GBP,74,Business Owner,429217.32,48740.02,54,4,China,Nigeria,1,1,1,0
2024-03-10 08:50:23,18380.49,Withdrawal,EUR,55,Doctor,786693.17,11189.43,90,24,USA,USA,0,0,0,0
2024-10-21 10:54:37,21392.21,Cash Deposit,EUR,53,Engineer,868772.3,34593.17,50,11,UK,UK,1,0,1,0
2024-06-13 23:44:20,32044.75,Wire Transfer,GBP,22,Lawyer,526624.33,15610.15,31,18,Germany,Nigeria,1,0,0,0
2024-01-10 01:56:49,7141.92,Withdrawal,GBP,32,Engineer,96173.49,1020.16,83,9,Germany,UK,0,0,0,0
2024-10-21 12:50:12,14687.66,Withdrawal,NGN,31,Business Owner,788892.04,13939.86,47,26,USA,Nigeria,0,0,1,0
2024-10-17 03:27:39,21157.91,Wire Transfer,USD,73,Business Owner,246874.4,32478,55,9,China,China,0,1,0,0
2024-09-30 05:09:32,34320.82,Cash Deposit,USD,44,Lawyer,11571.97,36842.97,9,22,UK,UK,1,0,0,0
2024-02-26 18:14:28,90774.16,Cash Deposit,USD,46,Doctor,495191.78,24614.43,59,13,China,USA,0,0,1,1
2024-05-28 17:25:52,60912.76,Wire Transfer,EUR,44,Doctor,714327.6,20018.99,72,22,China,USA,0,0,0,0
2024-09-08 15:23:45,34271.75,Withdrawal,EUR,69,Teacher,493897.64,6634.95,10,28,Germany,Nigeria,1,0,1,0
2024-05-06 13:58:03,94037.49,Online Payment,NGN,60,Doctor,727975.63,32891.4,19,7,USA,China,0,1,0,0
2024-07-04 04:38:00,61745.62,Wire Transfer,GBP,61,Doctor,300463.71,7357.13,71,1,UK,China,0,1,0,0
2024-03-22 07:51:39,26143.34,Online Payment,GBP,73,Engineer,878439.47,26762.61,100,14,USA,UK,0,0,1,0
2024-01-31 11:17:47,46373.05,Cash Deposit,USD,53,Business Owner,417096,32002.03,95,14,USA,Germany,1,1,1,0
2024-03-30 02:49:41,1619.38,Withdrawal,EUR,38,Teacher,171092.29,29461.17,66,28,USA,UK,0,1,1,0
2024-04-17 22:35:36,52965.45,Cash Deposit,EUR,48,Doctor,645596.09,3368.68,63,6,Nigeria,Nigeria,1,1,0,0
2024-06-05 17:41:34,45476.7,Cash Deposit,GBP,39,Lawyer,972465.2,36280.04,31,14,Nigeria,China,0,1,1,0
2024-08-15 17:25:09,10113.43,Cash Deposit,NGN,67,Engineer,198908.07,24210.62,18,21,China,China,0,0,0,0
2024-10-06 07:43:52,1053.49,Withdrawal,USD,63,Teacher,468929.48,33729,71,15,USA,UK,0,1,0,0
2024-04-29 13:26:30,88526.59,Withdrawal,GBP,28,Lawyer,74314.25,16685.28,37,18,Germany,USA,1,1,1,0
2024-08-28 03:09:43,91498.01,Withdrawal,USD,40,Lawyer,499886.65,31710.1,40,15,Nigeria,China,1,1,1,0
2024-03-26 19:07:04,50717.47,Online Payment,USD,64,Lawyer,319466.38,23635.64,16,22,Germany,Nigeria,1,0,1,0
2024-08-16 18:26:11,96270.57,Wire Transfer,EUR,47,Lawyer,266595.27,8012.96,21,8,Nigeria,China,1,1,1,0
2024-09-24 21:10:41,48413.53,Withdrawal,EUR,38,Teacher,154033.84,42489.88,95,5,Nigeria,China,0,1,0,0
2024-07-21 12:11:25,52487.01,Online Payment,GBP,54,Business Owner,811381.64,32942.85,88,23,UK,Germany,0,0,0,0
2024-01-07 20:28:09,97205.66,Cash Deposit,GBP,58,Doctor,745501.49,6578.41,41,23,UK,Nigeria,1,0,0,0
2024-05-18 17:53:09,27078.16,Cash Deposit,NGN,44,Doctor,950688.69,23674.91,60,8,China,China,0,0,0,0
2024-04-24 05:06:22,70221.45,Withdrawal,GBP,55,Engineer,883891.23,44894.89,68,17,UK,UK,1,1,0,0
2024-09-11 11:36:54,53434.23,Online Payment,USD,47,Business Owner,752039.74,194.18,90,11,Germany,Nigeria,0,1,0,0
2024-01-14 00:35:42,12873.27,Withdrawal,USD,38,Engineer,373086.6,34010.17,71,13,UK,Germany,0,0,0,0
2024-06-05 10:47:44,46721.05,Wire Transfer,NGN,39,Lawyer,703045.33,2074.98,17,28,Nigeria,USA,0,1,0,0
2024-07-11 03:32:44,28369.5,Cash Deposit,NGN,50,Engineer,865075.68,24555.95,51,22,Nigeria,China,0,0,1,0
2024-04-06 18:54:14,53520.28,Wire Transfer,NGN,35,Teacher,957126.16,13092.63,70,12,Nigeria,USA,1,1,0,1
2024-04-18 05:53:36,64670.73,Online Payment,GBP,63,Business Owner,458617.53,28923.02,88,2,Germany,Germany,1,0,1,0
2024-10-12 18:07:13,77139.36,Online Payment,USD,75,Teacher,610999.3,14459.41,26,10,Germany,Nigeria,0,1,0,0
2024-02-12 08:37:13,70517.78,Cash Deposit,USD,49,Business Owner,489171.75,14150.08,6,29,China,USA,0,1,1,0
2024-06-19 07:16:31,25192.91,Cash Deposit,USD,39,Doctor,90289.06,44174.03,70,3,Germany,USA,1,1,1,0
2024-06-16 17:11:39,15934.58,Withdrawal,GBP,55,Doctor,927666.48,4267.15,28,4,China,Germany,1,0,1,0
2024-07-17 02:17:25,64419.03,Wire Transfer,USD,69,Engineer,314691.86,30097.15,44,1,UK,USA,0,1,1,0
2024-01-25 02:56:26,54986.87,Online Payment,EUR,60,Teacher,179769.8,44901.37,11,1,Nigeria,Germany,0,1,1,0
2024-02-13 19:18:21,62946.06,Withdrawal,NGN,19,Doctor,893589.97,39239,73,26,Nigeria,Nigeria,0,0,0,1
2024-01-13 00:20:02,53201.95,Cash Deposit,EUR,71,Teacher,882641.64,44089.47,62,25,USA,China,1,0,1,0
2024-02-11 14:39:34,10357.11,Cash Deposit,USD,50,Engineer,873817.85,7976.67,82,15,Germany,Germany,0,0,0,0
2024-02-19 05:36:31,1703.37,Cash Deposit,GBP,55,Engineer,986082.11,36162.44,89,29,USA,China,1,0,1,0
2024-07-02 21:13:30,96568.86,Cash Deposit,USD,72,Lawyer,556852.19,31734.3,61,7,China,USA,1,1,1,0
2024-02-25 05:10:52,10014.43,Wire Transfer,EUR,35,Teacher,717296.7,12720.56,89,22,Germany,Nigeria,1,0,0,1
2024-02-15 23:55:15,5650.1,Cash Deposit,NGN,36,Engineer,410108.26,36544.05,44,29,Nigeria,Nigeria,0,0,0,0
2024-07-03 04:28:08,68258.23,Online Payment,GBP,21,Engineer,505759.51,15264.11,85,1,UK,China,1,0,0,0
2024-10-19 05:06:56,8376.44,Cash Deposit,EUR,68,Lawyer,135025.89,26428.84,32,11,UK,China,0,0,1,0
2024-03-19 09:46:12,80104.99,Online Payment,USD,67,Doctor,298214.28,44736.58,80,21,UK,China,1,0,0,0
2024-02-12 23:41:59,90922.83,Wire Transfer,USD,39,Doctor,21504.33,2899.01,70,17,UK,Germany,0,1,1,1
2024-02-11 20:02:56,28281.57,Withdrawal,EUR,43,Lawyer,862027.9,3286.79,40,20,USA,UK,0,0,0,0
2024-01-27 11:28:18,71633.64,Withdrawal,USD,69,Doctor,110207.85,31325.23,88,27,Nigeria,USA,1,1,1,0
2024-10-15 16:28:18,9916.25,Online Payment,GBP,45,Business Owner,601379.96,44578.29,48,26,China,China,0,1,1,0
2024-10-17 22:20:34,91742.77,Withdrawal,EUR,33,Business Owner,614594.59,32774.61,99,3,UK,USA,0,0,1,0
2024-01-20 09:16:06,8729.55,Cash Deposit,GBP,71,Business Owner,483877.07,10314.5,6,26,Germany,Germany,0,1,0,0
2024-07-29 11:12:29,75770.89,Withdrawal,NGN,60,Lawyer,790140.16,13966.43,83,24,Germany,UK,0,0,0,0
2024-01-11 09:44:19,42629.51,Wire Transfer,USD,75,Business Owner,670847.34,47523.03,78,5,Germany,UK,1,1,1,1
2024-07-16 21:23:57,399.96,Wire Transfer,NGN,32,Lawyer,406206.94,15459.63,33,8,Nigeria,UK,1,0,1,0
2024-06-12 08:30:18,85818.06,Wire Transfer,EUR,55,Doctor,641449.53,19095.87,60,17,USA,Germany,0,1,0,0
2024-01-22 20:07:24,49528.11,Withdrawal,GBP,20,Teacher,426337.18,48326.82,36,10,Nigeria,Nigeria,1,0,0,0
2024-02-04 03:26:08,74608.79,Withdrawal,GBP,64,Teacher,524414.77,16221.05,65,3,China,UK,1,0,1,0
2024-08-04 19:31:28,11433.96,Withdrawal,GBP,33,Engineer,898486.71,43044.39,35,16,Germany,UK,0,1,1,0
2024-08-30 09:43:15,70175.6,Online Payment,EUR,69,Teacher,757648.55,16011.48,56,1,USA,Germany,0,1,1,0
2024-07-13 08:30:09,63885.44,Withdrawal,NGN,41,Teacher,953263.34,7851.83,59,15,Germany,Nigeria,0,1,1,0
2024-05-29 15:24:34,62216.06,Withdrawal,EUR,34,Engineer,808234.69,42670.24,97,15,UK,USA,0,0,0,0
2024-03-26 23:46:19,73540.57,Cash Deposit,GBP,55,Business Owner,529933.8,28900.55,56,18,China,Nigeria,1,1,0,0
2024-10-09 00:17:43,87484.31,Wire Transfer,USD,58,Doctor,733784.22,4695.36,21,7,Germany,USA,0,0,1,0
2024-09-18 19:18:13,73596.56,Cash Deposit,EUR,62,Teacher,75853.37,12607.68,40,7,USA,UK,0,0,1,0
